Table,Name,Parameter ID,Type,Specifications,Description,Validation steps,In DBD,Notes:
Profile,Documentation URL,profiles.urlDocumentation,URL,,Link to the root of the documentation of a profile,"The URL will likely have “docs” or “documentation” in the address. The site will likely have sections with titles such as “Getting Started”, “Governance”, “Wallets”, “Transactions”, “Explorer”, “Glossary” and “Terminology”. The site may also have assets and sources from gitbook.com . ",true,
Profile,Whitepaper URL,profiles.urlWhitepaper,URL,,Link to the most recent copy of the whitepaper,"The whitepaper is often a PDF, but it may instead be in Notion or Gitbook. It provides written details of the problem, solution, and possible technical architecture that the Profile provides.",true,This could be a copy that we host? It may also be versioned!
Profile,,,,,,,false,
Products,Name,products.name,Short Text,,What this service or offering is called,"A Product is something that a customer of the Profile can interact with (e.g., an app). It is not an Asset.",true,
Products,Type,products.productType,Link to another Table,Product - Type / Status,"What kind of service or offering is this? For example is this an exchange or is it a wallet? ",Type can be determined by how customers and other ecosystem actors interact with the Product.,true,"In the future, depending on the product type, it will open up alot of other options..."
Products,Short Description,products.descriptionShort,Long text,,Explains what the service or offering does (no more than 140 characters),Description is written in third person. Text includes information about what the Product is. Text may include how the service or offering is used. Description does not include opinions or subjective information.,true,
Products,URL,products.urlToProduct,URL,,"Direct URL to where the service or offering can be accessed, either subdomain or folder","Domain name (without https or www). Must be unique. Is not the same as the Profile URL, but may be a subpage or subdomain of it. Should not be a link to a third party app store (e.g., Google Play).",true,
Products,Product Status,products.productStatus,Link to another Table,Product - Type / Status,Describes who has permission to interact with the service or offering.,"If the Product is not accessible to any user, it is in Development. If the Profile or Entity is strictly limiting the number or type of people who may use the Product, it is in Early Access. If the Profile has publicly invited anyone to use the Product under the disclaimer that it is still in Development, it is in Open Beta. If the Product can be used by anyone, it is Live. The Product may also be considered Live if it has a price or fee for usage, or if it is available through third party platforms. A Product may be considered in Testnet if the Profile announces that it is in Testnet. It may also be considered in Testnet if the Product is a blockchain. A Product may be considered in Mainnet if the Profile announces that it is in Mainnet. It may also be considered in Mainnet if the Product is a blockchain. ",true,
Products,Address,products.productAddress,Long text,,"What is the main smart contract address of this product, if any?","This text is most likely a sequence of numbers and letters, with no spaces in between.",true,
Products,Is Main product?,products.isMainProduct,Yes/No,Boolean for now,Is this the primary service or offering of the Profile that it is a part of?,This Product may generate the majority of revenue for the Profile. It may have the most DAU or downloads of the Profile’s suite of offerings.,true,
Products,Launch Date,products.launchDate,Date,,When this Product was originally released,"The date may be found on the Profile’s social media posts, or in press releases and announcements on the Blog. Must include year, and preferably the month. May include the day.",true,
Products,DeployedOn,products.deployedOn,Link to another Row,,"On which blockchain does this Product operate, if applicable? This is not the hosting provider (e.g. AWS, Google Cloud) ",This information can be confirmed with the Address. This information may also be confirmed with the Product’s documentation.,true,
Products,Asset support,products.assetSupport,Link to another Table,No idea what is it,"Which stores of value does this product support, if applicable? It might be general support or specific to that application. ","This information is often stored within the Product itself, but it may also be found on the Product’s website. It may be called Coin Support or Token Support.",true,This should probably be a many to many. It could also include all ERC20 tokens for example
Products,Profile,products.profileId,Link to another Table,,What Profile this product is associated with.,,true,
Products,,,,,,,false,
Entity,Name,entities.name,Short Text,,Name that is registered with the regulatory or governmental body,This Name can be confirmed with the regulatory body in the jurisdiction where the Entity is registered. It may also be confirmed in the Terms and Conditions on the Entity’s website.,true,
Entity,Trade Name,entities.tradeName,Short Text,,Other names this Entity commonly goes by. Also called Doing Business As (DBA),This name may be frequently used on the same website where the Terms and Conditions can be found. This name may also match the name of the linked Profile.,true,Could be multiple?
Entity,Type,entities.entityType,Link to another Table,Entity - Type,How is this Entity registered with the regulatory or governmental body?,"This information may be found with the Entity’s regulatory body, such as the Chamber of Commerce or Secretary of State. This information may also be found in the Entity’s or Profile’s Terms and Conditions.",true,"possible types of legal entities: Foundation, Company, Government"
Entity,Date of incorporation,entities.dateOfIncorporation,Date,,"When this entity was started, in a standard date format","This information may be found with the Entity’s regulatory body, such as the Chamber of Commerce or Secretary of State. This information may also be found in the Entity’s or Profile’s Terms and Conditions.",true,
Entity,url,entities.urlToEntity,URL,,Link to the website for this Entity. Sometimes might be different from main URL for the Profile,Domain name (without https or www). Must be unique. This website may have more information about the Entity’s operations and less marketing material for their target audience.,true,
Entity,Associated Profile,entities.profile,Link to another Table,,"Link to the Profile this Entity is associated with. For example - For Uniswap, Universal Navigation Inc the Entity is associated with Uniswap the Profile",,true,
Entity,Parent Entity,entities.parentEntity,Link to another Row,,"Name of the business, organisation, or body that owns or manages this Entity (if applicable).","This information may be found with the Entity’s regulatory body, such as the Chamber of Commerce or Secretary of State. This information may also be found in the Entity’s or Profile’s Terms and Conditions.",true,
Entity,Reg number,entities.localRegistrationNumber,Short Text,,The unique identifier assigned to the Entity by the regulatory or government body,"This information may be found with the Entity’s regulatory body, such as the Chamber of Commerce or Secretary of State. This information may also be found in the Entity’s or Profile’s Terms and Conditions.",true,
Entity,Tax identification number,entities.taxIdentificationNumber,Short Text,,The unique identifier assigned to the Entity by the tax authority,"This information may be found with the tax authority where the Entity is registered (e.g. Belastingdienst, IRS). This information may also be found in the Entity’s or Profile’s Terms and Conditions.",true,
Entity,Address,entities.address,Short Text,,Physical location where the Entity is registered,"The address includes the street name and street number. The address may include additional information such as the unit, suite, or floor. The address includes the city and postal code. The address may include the state or province if applicable.",true,May consider making into a better format?
Entity,Country,entities.country,Single Option,,Name of the Jurisdiction the Entity is registered in,"This information may be found with the Entity’s regulatory body, such as the Chamber of Commerce or Secretary of State. This information may also be found in the Entity’s or Profile’s Terms and Conditions.",true,
Entity,LEI Code,entities.leiNumber,Short Text,,What is the LEI code linked to their GLEIF profile,This information can be found on the GLEIF website,true,
Asset,Name,assets.name,Short Text,,"What to call the item or token that represents value, and can be traded or sold","The name may be different from the Ticker symbol (e.g. Ether is the name, ETH is the ticker).",true,
Asset,Ticker,assets.ticker,Short Text,,How the Asset is identified and listed on exchanges,Do not include any symbols. Only use numbers and capital letters.,true,
Asset,Icon,assets.icon,Image,,"Standard square Image of the Logo of the Token (if different from the Profile) with a transparent background, use PNG or SVG","The file extension will likely end in .PNG or .SVG , and it will be square in format. The file name may include the words “logo”, “icon”, or “favicon”.",true,Best to get from team official site What is an on-chain data for a logo?
Asset,Short Description,assets.shortDescription,Long text,,"Short explanation of what the Asset is, and possibly include the value it represents and how the Asset holder uses it.","The description may include details about what the Asset represents (e.g. proof of membership, equity in a company, monetary value). It does not include price or details about where the Asset can be acquired (e.g. does not list exchanges or marketplaces).",true,
Asset,Asset Type,assets.assetType,Link to another Table,Asset - Type / Standard,What type of representation of value is this?,"If the asset is primarily used for payment or investment purposes, then it is a Currency. If the asset is a collection of unique tokens (usually representing a form of media such as art, images, music or writing), then it is an NFT. If it is a token required to make decisions about a protocol or within an entity, then it is a Governance asset. If the token is required to take action within a certain system (such as redeeming services or claiming benefits), then it is a Utility asset. If the asset is often pegged to a fiat currency or traditional commodity, then it is a Stablecoin. If the token is clearly marked to represent a fungible financial instrument (but not a fiat currency or traditional commodity), it is a Security. If the asset has little to no utility and has “fun” as part of its purpose, then it is a Meme.",true,
Asset,URL to asset docs,assets.urlToAssetDocs,URL,,"What is the best official source for asset docs? ","Domain name (without https or www). Must be unique. ",true,
Asset,Address,assets.address,Long text,,What is the smart contract address of the asset issuer? Aka where did this asset come from?,"This information should be found via block explorer and ideally is checked against the documentation from the project. Assets should only be deployed on one address per blockchain. ",true,"This may be multiple? "
Asset,Asset Standard,assets.assetStandard,Link to another Table,,"Does this token follow an existing standard like ERC721, BRC20, ERC4337","Most commonly focused in the documentation of the project, it could also be figured out on chain by seeing which functions it has. ",true,
Asset,Deployed on,assets.deployedOn,Link to another Table,what is it?,On which blockchain is the asset built?,This information is often found in the Documentation (Docs) or the About section of the Asset or Profile. The information about where the asset is deployed may be found in sections about Explorers or Contracts. The website may also link directly to the contract address on the blockchain that the asset is deployed on.,true,
Asset,Associated Profile,assets.profileId,Link to another Table,,What Profile this Asset is associated with.,,false,
Socials,url,socials.url,URL,,"What is the URL of this social media link? This is a confirmed link. ","The URL is for a platform that requires a profile to be created, and that profile can share text and media with other profiles on the platform. The profile can also interact with other profiles on the platform. The URL to access a profile’s Social Media is usually on Farcaster (https://warpcast.com), X formerly Twitter (https://twitter.com or https://x.com), Facebook (https://facebook.com), Bluesky (https://bsky.app), LinkedIn (https://linkedin.com), Discord (https://discord.com) or Lens (https://www.lens.xyz). The username of the Profile will often be the last slug in the address. ",true,"This should be re-tried on a reoccurring basis to check if it is still live. "
Socials,Type of socials,socials.socialType,Link to another Table,maybe put a reference to profile in here and create profiles for each social platform? TDB,"This is what type of social media link is this: Discord, Farcaster, X, Facebook, Bluesky, Lens, Linkedin",The type of social media is based on the URL.,true,
Socials,Name,socials.name,Short Text,,What is the name of the account in social media?,The name of the account will be found in the Name field of the social media profile. It may contain some of the same words as the URL slug.,false,
